directory,category,direct_files,direct_bytes,direct_tracked,protected_files,disposition
.,configuration-or-agent,33,757966,27,1,review source versus generated and local; no bulk add
.agent,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.agent/nhallucinate,configuration-or-agent,2,358,2,0,review source versus generated and local; no bulk add
.agents,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.agents/skills,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.agents/skills/caveman,configuration-or-agent,1,3719,1,0,review source versus generated and local; no bulk add
.agents/skills/caveman-commit,configuration-or-agent,1,2545,1,0,review source versus generated and local; no bulk add
.agents/skills/caveman-compress,configuration-or-agent,3,11571,3,0,review source versus generated and local; no bulk add
.agents/skills/caveman-compress/scripts,configuration-or-agent,7,21200,7,0,review source versus generated and local; no bulk add
.agents/skills/caveman-help,configuration-or-agent,1,2104,1,0,review source versus generated and local; no bulk add
.agents/skills/caveman-review,configuration-or-agent,1,2793,1,0,review source versus generated and local; no bulk add
.agents/skills/openspec-apply-change,configuration-or-agent,1,4930,1,0,review source versus generated and local; no bulk add
.agents/skills/openspec-archive-change,configuration-or-agent,1,4271,1,0,review source versus generated and local; no bulk add
.agents/skills/openspec-explore,configuration-or-agent,1,11026,1,0,review source versus generated and local; no bulk add
.agents/skills/openspec-propose,configuration-or-agent,1,4756,1,0,review source versus generated and local; no bulk add
.agents/skills/source-command-opsx-apply,configuration-or-agent,1,4841,1,0,review source versus generated and local; no bulk add
.agents/skills/source-command-opsx-archive,configuration-or-agent,1,5271,1,0,review source versus generated and local; no bulk add
.agents/skills/source-command-opsx-explore,configuration-or-agent,1,7020,1,0,review source versus generated and local; no bulk add
.agents/skills/source-command-opsx-propose,configuration-or-agent,1,4621,1,0,review source versus generated and local; no bulk add
.beads,configuration-or-agent,9,111952,6,0,review source versus generated and local; no bulk add
.beads/hooks,configuration-or-agent,5,9347,5,0,review source versus generated and local; no bulk add
.continue,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.continue/prompts,configuration-or-agent,4,20589,4,0,review source versus generated and local; no bulk add
.continue/skills,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.continue/skills/caveman,configuration-or-agent,1,3719,1,0,review source versus generated and local; no bulk add
.continue/skills/caveman-commit,configuration-or-agent,1,2545,1,0,review source versus generated and local; no bulk add
.continue/skills/caveman-compress,configuration-or-agent,3,11571,3,0,review source versus generated and local; no bulk add
.continue/skills/caveman-compress/scripts,configuration-or-agent,7,21200,7,0,review source versus generated and local; no bulk add
.continue/skills/caveman-help,configuration-or-agent,1,2104,1,0,review source versus generated and local; no bulk add
.continue/skills/caveman-review,configuration-or-agent,1,2793,1,0,review source versus generated and local; no bulk add
.continue/skills/openspec-apply-change,configuration-or-agent,1,4774,1,0,review source versus generated and local; no bulk add
.continue/skills/openspec-archive-change,configuration-or-agent,1,4157,1,0,review source versus generated and local; no bulk add
.continue/skills/openspec-explore,configuration-or-agent,1,10738,1,0,review source versus generated and local; no bulk add
.continue/skills/openspec-propose,configuration-or-agent,1,4646,1,0,review source versus generated and local; no bulk add
.github,configuration-or-agent,1,183,1,0,review source versus generated and local; no bulk add
.github/ISSUE_TEMPLATE,configuration-or-agent,1,1255,1,0,review source versus generated and local; no bulk add
.github/scripts,configuration-or-agent,5,40514,5,0,review source versus generated and local; no bulk add
.github/workflows,configuration-or-agent,14,97767,14,0,review source versus generated and local; no bulk add
.husky,configuration-or-agent,3,1550,3,0,review source versus generated and local; no bulk add
.omo,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
.omo/run-continuation,configuration-or-agent,3,669,3,0,review source versus generated and local; no bulk add
.qoder,configuration-or-agent,0,0,0,0,review source versus generated and local; no bulk add
